"","ExpertID","Prediction","PredictedValue","DaysBefore","Decision","SymbolID","TransactionID","CompanyID"
"1","1000","Buy",6.814021,"27","Sell","S3940295",4026,"128"
"2","1000","Buy",6.716717,"0","Buy","S3940295",5679,"128"
"3","1000","Buy",NA,"49","Sell","S25564115",7971,"128"
"4","1000","Buy",NA,"0","Buy","S25564115",6762,"128"
"5","10000","Buy",NA,"0","Buy","S3964726",7578,"186"
"6","10039","Hold",0.00797984,"31","Sell","S657387",7104,"302"
"7","10039","Hold",0.04895105,"57","Sell","S657387",2686,"302"
"8","10039","Buy",0.2202563,"35","Buy","S657387",11706,"302"
"9","1004","Buy",NA,"38","Buy","S49814117",3010,"129"
"10","1005","Sell",NA,"0","Buy","S46998151",7507,"78"
"11","10054","Buy",NA,"48","Buy","S29981135",917,"5539"
"12","10054","Buy",NA,"0","Sell","S29981135",2329,"5539"
"13","10065","Buy",0.1550679,"0","Sell","S2596037",2038,"302"
"14","10065","Buy",0.1386248,"0","Hold","S453098",11096,"302"
"15","10065","Hold",0.1032498,"24","Buy","S18020147",5881,"302"
"16","10065","Hold",0.08095935,"32","Hold","S453098",6619,"302"
"17","10065","Buy",0.08136483,"33","Sell","S453098",9863,"302"
"18","10065","Hold",0.1039117,"0","Sell","S397760",5952,"302"
"19","10065","Hold",-0.02189101,"28","Hold","S18020147",10812,"302"
"20","10065","Hold",NA,"30","Hold","S453098",4063,"302"
"21","10065","Hold",0.03296703,"34","Hold","S18020147",8487,"302"
"22","10065","Buy",0.3576416,"0","Buy","S2282788",10374,"302"
"23","10065","Hold",NA,"0","Sell","S453098",9863,"302"
"24","10065","Buy",0.1818182,"0","Buy","S2282788",2678,"302"
"25","10065","Hold",0.04143585,"0","Buy","S18020147",12055,"302"
"26","10065","Hold",0.0965435,"0","Buy","S18020147",2076,"302"
"27","10065","Sell",NA,"0","Buy","S453098",9564,"302"
"28","10065","Sell",-0.1319026,"27","Hold","S453098",9116,"302"
"29","10065","Sell",-0.1328436,"8","Hold","S453098",3626,"302"
"30","10065","Buy",-0.5450049,"26","Hold","S18020147",9060,"302"
"31","10065","Hold",0.07737512,"23","Hold","S18020147",8487,"302"
"32","10065","Hold",0.1,"52","Buy","S18020147",8556,"302"
"33","10065","Buy",0.1444921,"0","Buy","S2596037",5738,"302"
"34","10065","Buy",0.3076923,"0","Hold","S860674",1629,"302"
"35","10065","Buy",0.2666408,"44","Buy","S2282788",11542,"302"
"36","10065","Buy",0.1398176,"0","Sell","S860674",8973,"302"
"37","10065","Buy",0.3079223,"27","Sell","S2282788",1875,"302"
"38","10065","Hold",0.08052483,"0","Hold","S397760",10333,"302"
"39","10065","Hold",0.1193508,"38","Sell","S2690874",6800,"302"
"40","10065","Sell",-0.1415286,"0","Hold","S453098",3303,"302"
"41","10065","Buy",0.2380324,"30","Buy","S860674",11595,"302"
"42","1008","Hold",NA,"0","Sell","S1086098",466,"322"
"43","1008","Buy",0.1408579,"0","Buy","S1086098",3576,"322"
"44","1013","Buy",2.633454,"34","Hold","S30707220",4528,"80"
"45","1013","Buy",2.4713,"0","Sell","S30707220",9216,"80"
"46","1013","Buy",0.2321774,"0","Sell","S6843203",1825,"80"
"47","1013","Hold",NA,"26","Sell","S6843203",1041,"80"
"48","1013","Buy",0.3982253,"32","Hold","S6843203",10235,"80"
"49","1013","Buy",2.317751,"19","Hold","S30707220",2312,"80"
"50","1013","Buy",2.080282,"51","Buy","S30707220",3119,"80"
"51","1013","Buy",0.2915129,"26","Hold","S6843203",11211,"80"
"52","1013","Hold",NA,"48","Sell","S6843203",5840,"80"
"53","1013","Buy",2.61055,"61","Hold","S30707220",4613,"80"
"54","1013","Buy",2.124102,"21","Hold","S30707220",5749,"80"
"55","1016","Hold",0.08948026,"0","Hold","S29326176",10402,"133"
"56","1016","Hold",-0.1025353,"0","Sell","S997135",11092,"133"
"57","1016","Sell",-0.2594036,"24","Hold","S1086098",11047,"133"
"58","1016","Hold",0.02837555,"0","Sell","S33907101",1636,"133"
"59","1016","Buy",0.1396011,"10","Sell","S997135",2526,"133"
"60","1016","Buy",0.1243851,"0","Sell","S997135",2526,"133"
"61","1016","Hold",0.01753287,"0","Sell","S33907101",6220,"133"
"62","1016","Hold",0.1125296,"27","Buy","S29326176",822,"133"
"63","1016","Buy",0.2686116,"0","Sell","S1879493",767,"133"
"64","1016","Buy",0.2513687,"18","Sell","S997135",2526,"133"
"65","1016","Buy",0.2029558,"0","Sell","S10639157",1936,"133"
"66","1016","Buy",0.2326389,"0","Sell","S4077776",2501,"133"
"67","1016","Buy",0.3063477,"36","Sell","S4077776",5632,"133"
"68","1016","Buy",0.3157895,"47","Hold","S10639157",3281,"133"
"69","1016","Sell",-0.3124661,"57","Hold","S1086098",10203,"133"
"70","1035","Sell",-0.220849,"50","Buy","S38927421",8271,"134"
"71","1035","Hold",0.2348178,"55","Sell","S29981135",1795,"134"
"72","1035","Buy",0.06774024,"21","Sell","S23987404",11168,"134"
"73","1035","Buy",0.2890431,"6","Buy","S23987404",1095,"134"
"74","1035","Buy",0.03703704,"15","Sell","S23987404",4527,"134"
"75","1035","Hold",-0.009287926,"0","Buy","S3489197",3847,"134"
"76","1035","Hold",0.06571936,"0","Hold","S4678127",3545,"134"
"77","1035","Buy",NA,"51","Buy","S1188272",9130,"134"
"78","1035","Buy",0.3408094,"32","Buy","S8402267",7828,"134"
"79","1035","Buy",0.3071895,"1","Buy","S23987404",9874,"134"
"80","1035","Buy",0.2345679,"0","Buy","S38927421",6687,"134"
"81","1035","Buy",0.3153457,"12","Buy","S23987404",9874,"134"
"82","1035","Buy",0.2197935,"24","Sell","S1188272",11175,"134"
"83","1035","Hold",0.121423,"50","Sell","S38927421",9269,"134"
"84","1035","Buy",0.156515,"24","Sell","S3489197",5826,"134"
"85","1035","Hold",0.1070111,"10","Buy","S38927421",969,"134"
"86","1035","Hold",0.1153846,"4","Sell","S38927421",224,"134"
